12:52:11.349 | 233000 | [http-nio-8080-exec-2] | INFO  | b.c.a.services.FuncionarioService - Funcionario salvo com sucesso!
12:52:11.519 | 233170 | [http-nio-8080-exec-3] | INFO  | b.c.a.services.FuncionarioService - Funcionario salvo com sucesso!
12:52:11.694 | 233345 | [http-nio-8080-exec-4] | INFO  | b.c.a.services.FuncionarioService - Funcionario salvo com sucesso!
12:52:11.860 | 233511 | [http-nio-8080-exec-5] | INFO  | b.c.a.services.FuncionarioService - Funcionario salvo com sucesso!
12:52:12.042 | 233693 | [http-nio-8080-exec-6] | INFO  | b.c.a.services.FuncionarioService - Funcionario salvo com sucesso!
12:52:12.226 | 233877 | [http-nio-8080-exec-7] | INFO  | b.c.a.services.FuncionarioService - Funcionario salvo com sucesso!
12:52:12.409 | 234060 | [http-nio-8080-exec-8] | INFO  | b.c.a.services.FuncionarioService - Funcionario salvo com sucesso!
12:52:12.579 | 234230 | [http-nio-8080-exec-9] | INFO  | b.c.a.services.FuncionarioService - Funcionario salvo com sucesso!
12:52:12.782 | 234433 | [http-nio-8080-exec-10] | INFO  | b.c.a.services.FuncionarioService - Funcionario salvo com sucesso!
12:52:12.938 | 234589 | [http-nio-8080-exec-1] | INFO  | b.c.a.services.FuncionarioService - Funcionario salvo com sucesso!
12:52:13.122 | 234773 | [http-nio-8080-exec-2] | INFO  | b.c.a.services.FuncionarioService - Funcionario salvo com sucesso!
12:52:13.307 | 234958 | [http-nio-8080-exec-3] | INFO  | b.c.a.services.FuncionarioService - Funcionario salvo com sucesso!
12:52:13.472 | 235123 | [http-nio-8080-exec-4] | INFO  | b.c.a.services.FuncionarioService - Funcionario salvo com sucesso!
12:52:13.645 | 235296 | [http-nio-8080-exec-5] | INFO  | b.c.a.services.FuncionarioService - Funcionario salvo com sucesso!
12:52:13.843 | 235494 | [http-nio-8080-exec-6] | INFO  | b.c.a.services.FuncionarioService - Funcionario salvo com sucesso!
12:52:14.024 | 235675 | [http-nio-8080-exec-7] | INFO  | b.c.a.services.FuncionarioService - Funcionario salvo com sucesso!
12:52:14.188 | 235839 | [http-nio-8080-exec-8] | INFO  | b.c.a.services.FuncionarioService - Funcionario salvo com sucesso!
12:52:14.363 | 236014 | [http-nio-8080-exec-9] | INFO  | b.c.a.services.FuncionarioService - Funcionario salvo com sucesso!
12:52:14.539 | 236190 | [http-nio-8080-exec-10] | INFO  | b.c.a.services.FuncionarioService - Funcionario salvo com sucesso!
12:52:14.719 | 236370 | [http-nio-8080-exec-1] | INFO  | b.c.a.services.FuncionarioService - Funcionario salvo com sucesso!
12:52:14.910 | 236561 | [http-nio-8080-exec-2] | INFO  | b.c.a.services.FuncionarioService - Funcionario salvo com sucesso!
12:52:15.088 | 236739 | [http-nio-8080-exec-3] | INFO  | b.c.a.services.FuncionarioService - Funcionario salvo com sucesso!
